img_id,caption
433454.jpg,a man riding a surfboard in the water
168865.jpg,a man and a woman sitting at a table with a cake
18513.jpg,a street with a traffic light and a street sign
95899.jpg,a stop sign with a sign on it
99568.jpg,a desk with a laptop and a keyboard
278525.jpg,a vase with a bunch of flowers in it
444432.jpg,a train is on a track near a building
52360.jpg,a giraffe standing next to a fence with a man in the background
12224.jpg,a woman in a room holding a wii remote
205560.jpg,a laptop computer sitting on top of a wooden table
388309.jpg,a plate of food with a fork and a fork
163128.jpg,a group of people sitting at a table with a laptop
424304.jpg,a kitchen with a kitchen counter and a kitchen counter
155811.jpg,a man walking down a street with a umbrella
393303.jpg,a train is parked on the tracks in a station
417834.jpg,a man sitting on a couch with a dog
293757.jpg,a cat sitting on a desk in a living room
139140.jpg,a woman sitting on a horse in a parade
442480.jpg,a plane is parked on a runway at night
270844.jpg,a man in a tie is holding a knife
25457.jpg,a bunch of items are on a table
489400.jpg,a bowl of vegetables and a knife on a table
80000.jpg,a man is standing on a tennis court
88719.jpg,a woman is holding a teddy bear in a vase
443259.jpg,a kitchen with a sink and a sink
541464.jpg,a living room with a couch and a television
318174.jpg,a computer with a laptop and a laptop
346956.jpg,a young boy holding a teddy bear in his hand
503015.jpg,a woman is holding a frisbee in a park
26745.jpg,a toilet and a sink in a room
98131.jpg,a couple of sheep standing on a wooden fence
358717.jpg,a man is riding a bike on the street
81612.jpg,a toilet with a toilet in the middle of the bathroom
205473.jpg,a group of people standing on top of a snow covered ski slope
493471.jpg,a man is holding a dog on a horse
68025.jpg,a man is playing tennis on a tennis court
43876.jpg,a table with a bunch of items on it
149964.jpg,a large train is on the tracks near a building
39201.jpg,a man is holding a bunch of fruit in a market
17207.jpg,a bus is parked on the side of the street
502063.jpg,a street sign on a sidewalk in a city
290350.jpg,a man is standing on a surfboard in the water
319155.jpg,a market with a bunch of fruit and vegetables
316727.jpg,a man in a kitchen preparing food in a kitchen
258869.jpg,a man is riding a surfboard on a wave
433423.jpg,a cat sitting on a desk with a laptop
193328.jpg,a man on skis is standing on a snow covered slope
284012.jpg,a baseball player is swinging his bat at a baseball
144049.jpg,a table with a laptop and a keyboard on it
424572.jpg,a piece of cake on a plate with a fork
204085.jpg,a train is on a bridge over a river
254753.jpg,a person is riding a wave on a surfboard
533742.jpg,a man riding a wave on top of a surfboard
321492.jpg,a man playing tennis on a court with a man in the air
323925.jpg,a sandwich with a sandwich and a fork
416815.jpg,a desk with a computer and a computer on it
424503.jpg,a sandwich on a plate with a sandwich
156700.jpg,a group of people flying kites in a field
266271.jpg,a person is walking down a street with an umbrella
223468.jpg,a clock tower with a clock on the top
321651.jpg,a bathroom with a sink and a mirror
542782.jpg,a person holding a red umbrella and a frisbee
471222.jpg,a man is playing tennis on a tennis court
435902.jpg,a group of giraffes are standing in a field
31882.jpg,a group of people sitting on a bench
274509.jpg,a group of people sitting around a living room
106736.jpg,a plate of food with a sandwich and a knife
300741.jpg,a couple of horses standing on top of a lush green field
145208.jpg,a woman riding a wave on top of a surfboard
49120.jpg,a man is swinging a tennis racquet on a court
109061.jpg,a man is standing in a field with a kite
298637.jpg,a person riding a snowboard down a snow covered slope
508207.jpg,a double decker bus is parked on the side of the road
26292.jpg,a man is flying a kite in a park
299417.jpg,a computer keyboard and mouse on a desk
345216.jpg,a boat is parked in the water near a building
380280.jpg,a living room with a table and a table
309983.jpg,a plate with a plate of food and a knife
308575.jpg,a vase with a flower in a vase
80117.jpg,a man riding a skateboard down a street
138064.jpg,a man is sitting at a table with a laptop
535650.jpg,a cat sitting on top of a suitcase
80519.jpg,a cat is laying on a desk in front of a television
469592.jpg,a train traveling down a train track near a building
422502.jpg,a close up of a green broccoli
443835.jpg,a woman is holding a cell phone in her hand
16418.jpg,a large commercial airplane parked on the tarmac
20929.jpg,a teddy bear sitting on a table with a stuffed bear
72582.jpg,a group of people sitting at a table
538809.jpg,a group of people standing on a street with a bus
16060.jpg,a man walking down a street with a red umbrella
80865.jpg,a man is playing tennis on a tennis court
167083.jpg,a bus is driving down a street with a man on the side
307442.jpg,a bus is driving down the street in a city
74963.jpg,a bunch of bananas are sitting on a table
308079.jpg,a man riding a snowboard down a snow covered slope
24375.jpg,a man flying through the air while riding a snowboard
542426.jpg,a man and a woman standing on a train
575633.jpg,a stop sign with a street sign on it
90839.jpg,a living room with a couch and a television
204352.jpg,a plate of food with a plate of broccoli
495993.jpg,a group of people standing in front of a truck
220654.jpg,a fire hydrant is on the side of a road
201261.jpg,a living room with a couch and a table
444982.jpg,a zebra standing in a field with a tree in the background
382411.jpg,a man is holding a tennis racket on a tennis court
220835.jpg,a man sitting on a bench in front of a tv
153103.jpg,a plate of food with a fork and a fork
92953.jpg,a group of people standing next to a horse
568647.jpg,a car is parked in a parking lot
366948.jpg,a group of women are standing in a room
9497.jpg,a train is on the tracks in a park
20711.jpg,a person on a snowboard on a snowy hill
63209.jpg,two women are holding a cell phone in their hands
62703.jpg,a person is holding a laptop on a desk
95124.jpg,a woman standing on a sidewalk with a cell phone
451761.jpg,a bathroom with a sink and a toilet
194203.jpg,a black dog is standing in a room
67222.jpg,a bed with a white comforter and a table
385716.jpg,a group of people standing in front of a building
138075.jpg,a group of people sitting at a table with a plate of food
252839.jpg,a horse standing in a field with a mountain in the background
264618.jpg,a kitchen sink with a sink and a stove
396882.jpg,a street sign on a pole in a city
529645.jpg,a cow standing on a field of grass
261504.jpg,a bed with a bed and a bed
526806.jpg,a train is on a track near a forest
61494.jpg,a man on a snowboard on a snowy hill
99313.jpg,a woman standing next to a giraffe
207698.jpg,a man riding a horse on a horse
447714.jpg,a man and a woman are riding on the back of a elephant
310072.jpg,a bench with a sign on it and a clock
164186.jpg,a cat sitting on a toilet in a bathroom
236346.jpg,a man in a red jacket is walking down the side of the subway
328855.jpg,a group of people sitting at a table with food
323347.jpg,a woman is sitting on a couch with a small dog
578019.jpg,a desk with a laptop and a laptop on it
258925.jpg,a man is riding a wave on a surfboard
343215.jpg,a man standing in front of a kitchen
40244.jpg,a dog is standing in the back of a truck
275922.jpg,a woman is skiing down a snowy hill
278742.jpg,a group of people sitting at a table with luggage
338061.jpg,a bowl of soup and a bowl of food
326593.jpg,a black and white bus with a man in the front
471235.jpg,a dog is sitting on a tree branch
73000.jpg,a cat is laying on the top of a toilet
181393.jpg,a group of zebras are standing in a field
170253.jpg,a bird is standing on the beach with a bird
134297.jpg,a woman walking down a street with a umbrella
24371.jpg,a plate of food with a sandwich and a fork
421064.jpg,a person on a snowboard jumping over a hill
85872.jpg,a group of men standing on a field with a baseball bat
10547.jpg,a stuffed bear is sitting on a bed
541613.jpg,a group of people skiing down a snowy slope
424044.jpg,a young boy is holding a cake on a table
82947.jpg,a man is sitting at a table with a laptop
287914.jpg,a group of people standing in a market with bananas
168129.jpg,a large elephant standing in a field of grass
189850.jpg,a woman standing next to a woman holding an umbrella
240210.jpg,a bus is parked on the side of the road
362778.jpg,a woman and a woman sitting on a table
202146.jpg,a plate of food on a table with a fork
259591.jpg,a desk with a laptop and a laptop on a table
254022.jpg,a bed with a bed and a window
487696.jpg,a woman riding a surfboard on top of a wave
356755.jpg,a group of giraffes are standing in a zoo
296455.jpg,a man in a suit and tie holding a cell phone
151927.jpg,a woman is playing tennis on a tennis court
383087.jpg,a man sitting at a table with a plate of food
97131.jpg,a car is parked in a parking lot
561591.jpg,a plane flying over a plane in the air
100413.jpg,a fire hydrant in a field of grass
568886.jpg,a group of people are standing in a kitchen
558153.jpg,a bunch of flowers in a tree with a bunch of flowers
521762.jpg,a man in a suit and tie standing in a room
576938.jpg,a person standing on the beach holding a surfboard
404209.jpg,a plate of food with a fork and a knife
569773.jpg,a cat is sitting on the top of a man
290320.jpg,a man riding a wave on a surfboard
354888.jpg,a woman is holding a small child in her hand
357673.jpg,a baseball player swinging a bat at a ball
488960.jpg,a young girl is holding a piece of cake
198441.jpg,a man is playing tennis on a tennis court
541634.jpg,a plate of food with a plate of food
529240.jpg,a man and a woman playing a video game
63365.jpg,a man is standing on a tennis court with a racket
19102.jpg,a zebra is standing in a zoo enclosure
